날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2021-11-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-11-26,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-11-29,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-11-30,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-01,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-02,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-03,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-06,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-08,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-09,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-10,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-13,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-14,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-15,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-16,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-17,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-20,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-21,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-22,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-23,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-24,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-27,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-28,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-29,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-12-30,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-03,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-04,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-05,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-06,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-10,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-11,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-12,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-13,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-14,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-17,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-18,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-19,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-20,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-21,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-24,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-26,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-27,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-28,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-03,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-04,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-08,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-09,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-10,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-11,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-14,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-15,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-16,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-17,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-18,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-21,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-22,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-23,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-24,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-02-28,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-02,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-03,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-04,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-08,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-10,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-11,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-14,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-15,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-16,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-17,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-18,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-28,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-29,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-30,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-31,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-01,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-04,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-05,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-06,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-08,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-11,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-12,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-13,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-14,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-15,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-18,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-19,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-20,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-21,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-22,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-26,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-27,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-28,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-04-29,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-02,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-03,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-04,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-06,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-09,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-10,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-11,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-12,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-13,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-16,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-17,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-18,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-19,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-20,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-23,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-24,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-26,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-27,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-30,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-31,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-02,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-03,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-08,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-09,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-10,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-13,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-14,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-15,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-16,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-17,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-20,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-21,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-22,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-23,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-24,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-27,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-28,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-29,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-06-30,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-01,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-04,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-05,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-06,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-08,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-11,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-12,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-13,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-14,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-15,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-18,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-19,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-20,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-21,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-22,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-26,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-27,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-28,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-07-29,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-01,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-02,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-03,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-04,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-05,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-08,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-09,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-10,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-11,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-12,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-16,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-17,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-18,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-19,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-22,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-23,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-24,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-25,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-26,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-29,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-30,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-08-31,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-09-01,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-09-02,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-09-05,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-09-06,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-09-07,10200.0,10200.0,10200.0,10200.0,3458712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
